Age_ka_BP,d18O_measurement,XGB_anomaly,BiLSTM_anomaly
0.0316684,-9.573,0,0.0
0.0316852,-9.884,0,0.0
0.031701,-9.756,0,0.0
0.031715,-9.89,0,0.0
0.0317298,-9.819,0,0.0
0.0317439,-9.929,0,0.0
0.0317582,-9.695,0,0.0
0.0317716,-9.875,0,0.0
0.031785799999999996,-9.682,0,0.0
0.031799299999999996,-10.006,0,0.0
0.0318131,-9.978,0,0.0
0.0318265,-10.126,0,0.0
0.03184,-10.062,0,0.0
0.0318536,-10.184,0,0.0
0.031866599999999995,-10.018,0,0.0
0.0318795,-10.175,0,0.0
0.031893,-10.011,0,0.0
0.0319063,-10.238,0,0.0
0.0319189,-10.103,0,0.0
0.031932300000000004,-9.963,0,0.0
0.0319469,-9.878,0,0.0
0.0319602,-10.156,0,0.0
0.031973800000000004,-9.588,0,0.0
0.0319876,-10.076,0,0.0
0.0320012,-9.798,0,0.0
0.0320152,-10.073,0,0.0
0.0320289,-10.226,0,0.0
0.032042900000000006,-10.532,0,0.0
0.0320562,-10.258,0,0.0
0.03207,-10.228,0,0.0
0.0320842,-10.261,0,0.0
0.0320989,-10.486,0,0.0
0.0321145,-10.24,0,0.0
0.0321314,-10.39,0,0.0
0.0321488,-10.407,0,0.0
0.0321677,-10.46,0,0.0
0.0321884,-10.071,0,0.0
0.032209800000000004,-10.355,0,0.0
0.032230800000000004,-10.087,0,0.0
0.0990437,-7.56,1,1.0
0.0991022,-7.68,1,0.0
0.0991607,-7.59,1,0.0
0.09921920000000001,-7.83,1,0.0
0.0992777,-7.88,1,0.0
0.0993362,-7.8,1,0.0
0.0993947,-7.77,0,0.0
0.09945319999999999,-7.93,0,0.0
0.09951170000000001,-8.03,0,0.0
0.09957139999999999,-7.36,0,0.0
0.0996316,-7.78,0,0.0
0.0996761,-8.14,0,0.0
0.0997166,-7.73,0,0.0
0.0997539,-7.93,0,0.0
0.0997884,-7.99,0,0.0
0.0998239,-8.03,0,0.0
0.099857,-7.9,0,0.0
0.0998891,-7.76,0,0.0
0.0999203,-7.89,0,0.0
0.0999525,-7.43,0,0.0
0.0999823,-8.29,0,1.0
0.100012,-8.15,0,0.0
0.100043,-8.11,0,0.0
0.100075,-8.03,0,0.0
0.100106,-7.99,0,0.0
0.100137,-8.43,0,0.0
0.10016800000000001,-8.04,0,0.0
0.100198,-7.91,0,0.0
0.100232,-8.38,0,0.0
0.100267,-8.56,0,0.0
0.10030700000000001,-7.8,0,0.0
0.10034699999999999,-8.58,0,0.0
0.100392,-8.09,0,0.0
0.100471,-8.58,0,0.0
0.10068099999999999,-8.34,0,0.0
0.10087600000000001,-8.99,0,0.0
0.101052,-8.43,0,0.0
0.101214,-8.58,0,0.0
0.10137399999999999,-8.65,0,0.0
0.102032,-8.63,0,0.0
0.10206100000000001,-8.7,0,0.0
0.10209,-8.62,0,0.0
0.102119,-8.66,0,0.0
0.102148,-8.6,0,0.0
0.102177,-8.72,0,0.0
0.102206,-8.45,0,0.0
0.10223399999999999,-8.58,0,0.0
0.102262,-8.5,0,0.0
0.10229,-8.34,0,0.0
0.10231799999999999,-8.5,0,0.0
0.102346,-8.33,0,0.0
0.10237399999999999,-8.14,0,0.0
0.102402,-8.1,0,0.0
0.10243000000000001,-8.02,0,0.0
0.10245699999999999,-8.4,0,0.0
0.10248499999999999,-8.4,0,0.0
0.102513,-8.66,0,0.0
0.102541,-8.33,0,0.0
0.10256900000000001,-8.44,0,0.0
0.102597,-8.15,0,0.0
0.102625,-8.37,0,0.0
0.10265200000000001,-8.48,0,0.0
0.102679,-8.42,0,0.0
0.102706,-8.6,0,0.0
0.102733,-8.32,0,0.0
0.10276,-8.41,0,0.0
0.10278799999999999,-8.51,0,0.0
0.102816,-8.31,0,0.0
0.10284399999999999,-8.57,0,0.0
0.102872,-8.28,0,0.0
0.1029,-8.64,0,0.0
0.10292799999999999,-8.51,0,0.0
0.102956,-8.26,0,0.0
0.102983,-8.55,0,0.0
0.10301,-8.44,0,0.0
0.10303799999999999,-8.52,0,0.0
0.103065,-8.44,0,0.0
0.103092,-8.39,0,0.0
0.103119,-8.58,0,0.0
